constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,SC,ST,Minority,Others,Total
chikiti,135,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.2,302.2,0,578.45,1017.85
mohana (st),136,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.45,1286,114.85,2048.4,3497.7
paralakhemundi,137,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.7,16.3,10.1,1107.35,1202.45
gunupur (st),138,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.15,1579.05,157.55,1393.15,3273.9
bissam cuttack (st),139,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.65,936.6,12.15,2314.45,3502.85
bonai (st),14,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.7,3781.3,13.649999999999999,446.6,4525.25
rayagada (st),140,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.5,1793,2.05,1550.05,3584.6
lakshmipur (st),141,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.5,1677.1,0.6,234.55,2138.75
kotpad (st),142,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.15,3522.5,42.05,721,5217.7
jeypore,143,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.15,1678.3,22.9,437.5,2790.85
koraput (sc),144,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.75,1240.1,0.3,258.85,1743
pottangi (st),145,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3,525.9,4.55,140.2,730.95
malkangiri (st),146,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,963.1,3499.25,0,358,4820.35
chitrakonda (st),147,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.3,2786,0,351.5,3495.8
kuchinda (st),15,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,702.8,3058.85,0,1439.45,5201.1
rengali (sc),16,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226.15,1857.5,0,1211.6,4295.25
rairakhol,18,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,917.8,1692.2,0,1609.05,4219.05
deogarh,19,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,875.9,2177.45,10.3,1277.35,4341
bijepur,2,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1143.7,918.1,0,2512,4573.8
telkoi (st),20,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,541.25,3685.9,0,1087.75,5314.9
ghasipura,21,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.85,2951.7,21.5,1261.75,5098.8
anandapur (sc),22,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1215.3,921.8,0,1194.15,3331.25
patna (st),23,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,557.65,3971.6,4.85,1345.55,5879.65
keonjhar (st),24,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.85,2337.25,0,709.05,3403.15
champua,25,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.7,1208.9,0,388.84999999999997,1755.45
jashipur (st),26,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.35,4083.65,13.95,688.2,5008.15
saraskana (st),27,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.85,4593.6,55.449999999999996,773.1,5706
rairangpur (st),28,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.35,4225.55,189.95000000000002,794.9,5520.75
bangriposi (st),29,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,307.15,4529.95,2.75,771.8,5611.65
bargarh,3,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.2,260.2,7.3,1075.7,1870.4
karanjia (st),30,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.1,3826,5.25,537.65,4557
udala (st),31,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.25,3882,1.5,756.85,5049.6
badasahi (sc),32,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,564,2534.1,25.7,1173.8,4297.6
baripada (st),33,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.95,3676.65,2.1999999999999997,503.5,4407.3
morada,34,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.5,3068.55,6.3,1279.9,4861.25
jaleswar,35,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,974.8,108.7,1334.5,3296
bhograi,36,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,690.3,128,98.2,1704.7,2621.2
basta,37,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1062,510.5,91.8,1924.4,3588.7
balasore,38,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.7,221.6,68.4,923.6,1972.3
remuna (sc),39,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185.6,615.3,43.1,1084.6,2928.6
attabira (sc),4,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154.1,1001,1,1562.9,3719
nilgiri,40,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,595.4,1950.9,0.4,1157.8,3704.5
soro (sc),41,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.2,173.7,23.200000000000003,1314.4,2220.5
simulia,42,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083.4,325.1,48,2275.5,3732
bhandaripokhari,43,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032.4,89.3,92,1964.3,3178
bhadrak,44,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,607.7,95,135.3,1403.6,2241.6
basudevpur,45,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,719.8,2.6,81.4,2684.1,3487.9
dhamnagar,46,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206.3,12.799999999999999,225.4,2116.4,3560.9
chandabal,47,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,982.3,8.1,68.10000000000001,3196.6,4255.1
binjharpur (sc),48,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2134.15,0,217.5,1688,4039.65
bari,49,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095.75,8.8,87.4,1506.25,2698.2
bhatli,5,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479.7,1901.8,1.6,2146.8,5529.9
barachana,50,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.9,95.2,55.25,385.95,726.3
dharmasala,51,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,786.4,84.6,15.55,1430.65,2317.2
jajpur,52,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1383.9,33.7,246.95,1518.4,3182.95
korei,53,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.15,253.5,214.8,1083.65,2648.1
sukinda,54,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,721.35,625.25,6.1,808.35,2161.05
dhenkanal,55,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,828.6,420.7,4,1293,2546.3
hindol (sc),56,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273.5,556.8,0,2025.1,3855.4
kamakhyanagar,57,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,892.4,470.6,0.6,1209.4,2573
parjanga,58,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,1536.8,0,2102.1,4686.9
pallahara,59,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,570.6,1159.6,0,687.7,2417.9
brajarajnagar,6,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,901.6,1462.1,2.5,939,3305.2
talcher,60,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,17.099999999999998,0.7,33.1,80.7
angul,61,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.5,262,0,981.9,2002.4
chhendipada (sc),62,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,874.9,298.3,0,1193.5,2366.7
athamallik,63,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186.1,1609.7,0.7,1957.8,4754.3
birmaharajpur (sc),64,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2261.1,661.8,0.6,3073.85,5997.35
sonepur,65,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2302,891.5,2.1500000000000004,3405.65,6601.3
loisingha (sc),66,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1885.5,1148.45,12.5,3907.85,6954.3
patnagarh,67,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1698.7,4424.55,7.95,3479.85,9611.05
bolangir,68,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.2,1363,12.6,1907.65,4300.45
titlagarh,69,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1443.5,2006.25,12.75,3126.55,6589.05
jharsuguda,7,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,2240.3,0,830.2,3849.5
kantabanji,70,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830.65,3136.45,2.25,3787.4,8756.75
nuapada,71,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197.75,4350.9,35.35,1590.05,7174.05
kharia,72,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.7,3502.4,8.2,2272.65,6822.95
umerkote (st),73,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.25,3682.15,0,561.65,4914.05
jharigam (st),74,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,729.65,4555.25,7.85,1938.45,7231.2
nabarangpur (st),75,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,922.1,3786.55,53.1,1011.7,5773.45
dabugam (st),76,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,580.7,3678.75,18.95,936.9,5215.3
lanjigarh (st),77,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,966.75,2776.55,3.15,1065.35,4811.8
junagarh,78,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.3,1029.9,0,2117.9,3796.1
dharamgarh,79,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,775.8,1692.1,1.6500000000000001,2568.25,5037.8
talsara (st),8,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,523.5,5272.6,62.150000000000006,610.7,6468.95
bhawanipatna (sc),80,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,638.3000000000001,1148.6,2.5,961,2750.4
narla,81,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.05,2075.35,13.35,1862.4,4896.15
baliguda (st),82,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,593.8,1539.3999999999999,37.1,580.05,2750.35
g. udayagiri (st),83,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.25,542.35,53.65,311.8,1170.05
phulbani (st),84,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.3,1698.8,0.3,617.2,3271.6
kantamal,85,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1469.6,791.4,0.4,2794.5,5055.9
boudh,86,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700.3,668.4,3.0999999999999996,2195.1,4566.9
baramba,87,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076.4,238.2,11.6,2363.2,3689.4
banki,88,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.5,170.9,0.7,1842.4,2332.5
athagarh,89,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.4,199.6,13.1,1452.7,1805.8
sundargarh (st),9,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,850.8,3070.55,3.3000000000000003,845.35,4770
choudwar- cuttack,91,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,7.9,0,78.9,93.10000000000001
niali (sc),92,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.4,9.5,61.5,593.4,1014.8
cuttack sadar (sc),93,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.1,4.1,29.599999999999998,336.3,544.1
salipur,94,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,93.3,199.8,989,1663.1
mahanga,95,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.9,8,291.5,2145.7,2957.1
patkura,96,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.4,10.4,53.6,943.3,1465.7
kendrapara (sc),97,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,623.1,3.6,84.9,1066.7,1778.3
aul,98,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045.5,0,134.4,2630.8,3810.7
rajanagar,99,AC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.6,22.099999999999998,30.8,2513.4,3135.9
aska,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1885.8,1079.6,12.45,4688.3,7666.15
balasore,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5734,6935.2,436.3,9303.4,22408.9
bargarh,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,7374.1,10219.9,29.1,11415.6,29038.7
berhampur,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.1,1704.2,124.95,4291,6544.25
bhadrak (sc),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6341.1,706.6,673.4,14954.9,22676
bhubaneswar,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.6,177.1,136,3486.8,4013.5
bolangir,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12438.65,13632,50.8,22688.8,48810.25
cuttack,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.25,708,55,7172.8,9960.05
dhenkanal,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5401.4,4423.6,5.3,8332.3,18162.6
jagatsinghpur (sc),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629.8,26.6,328.9,5949.5,8934.8
jajpur (sc),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,7407.6,1101.05,843.55,8421.25,17773.45
kalahandi,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6211.65,16575.8,64.2,12437.6,35289.25
kandhamal,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,8453.9,7262.85,104.95,9525.4,25347.1
kendrapara,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,4229,172.79999999999998,816.3,12098.8,17316.9
keonjhar (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880.7,18903.15,31.6,6524.75,29340.2
koraput (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1806,9430.05,200.1,6328.75,17764.9
mayurbhanj (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2264.4,28059.95,272.1,5568.25,36164.7
nabarangpur (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5156.25,25510.45,121.95,5879.2,36667.85
puri,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,3039.3,366.15,102.15,10481.45,13989.05
sambalpur,NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5783.65,10694,11,8688.75,25177.4
sundargarh (st),NA,PC,PMAGY,2018-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2113.25,19623.85,115.25,2837.5,24689.85
padampur,1,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866.1,4773.9,4.3,2314.1,8958.4
biramitrapur (st),10,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.5,7216.95,35.05,2335.6,10125.1
mahakalapada,100,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,713.2,43.7,19.700000000000003,3197.7,3974.3
paradeep,101,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,5.2,0.4,575.3,622.6
tirtol (sc),102,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8,4.5,158.3,966.4,1326
balikuda- erasama,103,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,465.9,3.4000000000000004,32.3,2933.2,3434.7999999999997
jagatsinghpur,104,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,0,59.3,547.7,667.8
kakatpur (sc),105,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.9,3,81.89999999999999,738.1,1045.9
nimapara,106,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.7,0,28.099999999999998,859.1,1190.9
puri,107,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.29999999999998,0.3,0,705.7,858.3
brahmagiri,108,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,590.3,17.1,77.60000000000001,2775.4,3460.4
satyabadi,109,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.3,6.7,9.1,2498.4,2731.5
raghunathpali (sc),11,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,151.5,0.3,51.2,209.15
pipili,110,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.8,3.5,13.4,1007.7,1182.4
jayadev (sc),111,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,0,3.5,20.7,35.6
bhubaneswar north,113,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.2999999999999998,1.2999999999999998
ekamra- bhubaneswar,114,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,0,0.7,1
jatani,115,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,7.7,17.2,139.7,170.9
begunia,116,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,47.2,37.5,1846.6,1955.8
khurda,117,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,39.1,39,849,969.1
chilika,118,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,116.10000000000001,3.5,203.5,340.6
ranpur,119,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.65,166.55,0,2026.65,2300.85
rourkela,12,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
khandapada,120,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.9,120.5,0,2317.2,2570.6
daspalla (sc),121,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.2,771.45,0.95,2282.45,3487.05
nayagarh,122,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.35,32.9,1.05,2453.05,2637.35
bhanjanagar,123,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.75,471.85,0,2647.65,3792.25
polasara,124,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.1,77.75,0.3,550.6,747.75
kabisuryanagar,125,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.800000000000004,16.5,0,465.7,537
khalikote (sc),126,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,23,0,513.3,566.1
chhatrapur (sc),127,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,0,0,15.450000000000001,23
aska,128,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,1,0,146,163.5
surada,129,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.3,242,7.449999999999999,2229.3,2829.05
rajgangpur (st),13,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.25,2824.95,4.3,453.65,3415.15
sanakhemundi,130,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2,124.75,0,757.8,968.75
hinjili,131,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.55,4.300000000000001,0,58.5,79.35
gopalpur,132,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,0.75,0,28.05,37.05
digapahandi,134,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,38.6,0,259.95,326.45
chikiti,135,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.25,161.65,0,393.2,614.1
mohana (st),136,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.75,770.8000000000001,97.2,1574.6,2477.35
paralakhemundi,137,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,19.1,23.8,966.05,1059.05
gunupur (st),138,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.7,978.7,182.4,2096.95,3375.75
bissam cuttack (st),139,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.4,1423.7,6.9,2640,4337
bonai (st),14,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.45,6986,2.8,1381.25,8852.5
rayagada (st),140,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,1998.3,2.75,1406.15,3743.2000000000003
lakshmipur (st),141,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,3183.95,0,756.8,4366.75
kotpad (st),142,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263.85,4200.95,4.05,1876.65,7345.5
jeypore,143,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.7,2295.5,6.75,1091.55,4156.5
koraput (sc),144,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.35,1470.85,0,1076.45,2964.65
pottangi (st),145,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,307.35,1.2,229.2,602.85
malkangiri (st),146,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,269.1,1489.65,0.6,331.05,2090.4
chitrakonda (st),147,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.35,1809.95,0,552.35,2643.65
kuchinda (st),15,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.45,1235.65,2.4,1191.95,2562.45
rengali (sc),16,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.1,1494.05,0,1387.5,3164.65
rairakhol,18,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.15,1135.65,0,1496.35,2767.15
deogarh,19,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.7,1810.95,23.25,2395.6,4940.5
bijepur,2,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.5,989.6,0,2267.8,4202.9
telkoi (st),20,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,836.4,6096.85,0,1726.05,8659.3
ghasipura,21,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1763.65,4119.05,11.75,2029.15,7923.6
anandapur (sc),22,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350.85,2082.7,0,1346.55,4780.1
patna (st),23,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.95,3309.95,0.6,1355.45,4805.95
keonjhar (st),24,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.6,4438.15,0,930.7,5809.45
champua,25,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7,1740.85,1.3,674.65,2494.5
jashipur (st),26,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.05,5250.55,2.1,964.25,6542.95
saraskana (st),27,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,530.05,7038.9,6.050000000000001,1344.3,8919.3
rairangpur (st),28,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.85,6590.25,29.8,1597.15,8764.05
bangriposi (st),29,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,422.6,7689.25,0.3,1335.05,9447.2
bargarh,3,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.6,193.7,1.9000000000000001,1054.2,1831.4
